"product-thumbnail__product-link href","product-thumbnail__image src","product-thumbnail__product-name","product-thumbnail__product-title","product-thumbnail__product-short-title","product-thumbnail__product-price","product-thumbnail__badge_image src","product-thumbnail__product-swatch-images href","product-thumbnail__product-swatch-images src","product-thumbnail__product-swatch-images href 2","product-thumbnail__product-swatch-images src 2","product-thumbnail__product-swatch-images href 3","product-thumbnail__product-swatch-images src 3","product-thumbnail__product-swatch-images href 4","product-thumbnail__product-variant-count"
"https://www.clarksusa.com/c/Cora-Iris/p/26170464","https://clarks.scene7.com/is/image/Pangaea2Build/26170464_W_1?fmt=jpg&wid=300","Cora Iris","Womens Shoes","Pewter Metallic","$85.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Cora-Iris/p/26170463","https://clarks.scene7.com/is/image/Pangaea2Build/26170463_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Cora-Iris/p/26170465","https://clarks.scene7.com/is/image/Pangaea2Build/26170465_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Cora-Iris/p/26171165","https://clarks.scene7.com/is/image/Pangaea2Build/26171165_W_1?fmt=jpg&wid=65","",""
"https://www.clarksusa.com/c/Desirae-Lily/p/26171913","https://clarks.scene7.com/is/image/Pangaea2Build/26171913_W_1?fmt=jpg&wid=300","Desirae Lily","Womens Sandals","Black/Tan","$95.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Desirae-Lily/p/26171173","https://clarks.scene7.com/is/image/Pangaea2Build/26171173_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Desirae-Lily/p/26171174","https://clarks.scene7.com/is/image/Pangaea2Build/26171174_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/Torhill-Bee/p/26172084","https://clarks.scene7.com/is/image/Pangaea2Build/26172084_W_1?fmt=jpg&wid=300","Torhill Bee","Womens Shoes","Light Tan Nubuck","$120.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Torhill-Bee/p/26172085","https://clarks.scene7.com/is/image/Pangaea2Build/26172085_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/ATL-Trek-Sport/p/26171856","https://clarks.scene7.com/is/image/Pangaea2Build/26171856_W_1?fmt=jpg&wid=300","ATL Trek Sport","Womens Sport Sandals","Aqua","$110.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/ATL-Trek-Sport/p/26170578","https://clarks.scene7.com/is/image/Pangaea2Build/26170578_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Barleigh-Weave/p/26170487","https://clarks.scene7.com/is/image/Pangaea2Build/26170487_W_1?fmt=jpg&wid=300","Barleigh Weave","Womens Shoes","Ivory Combi","$110.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Barleigh-Weave/p/26170489","https://clarks.scene7.com/is/image/Pangaea2Build/26170489_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Desirae-Lily/p/26171173","https://clarks.scene7.com/is/image/Pangaea2Build/26171173_W_1?fmt=jpg&wid=300","Desirae Lily","Womens Sandals","Light Tan Leather","$95.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Desirae-Lily/p/26171174","https://clarks.scene7.com/is/image/Pangaea2Build/26171174_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Desirae-Lily/p/26171913","https://clarks.scene7.com/is/image/Pangaea2Build/26171913_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/Cora-Iris/p/26170463","https://clarks.scene7.com/is/image/Pangaea2Build/26170463_W_1?fmt=jpg&wid=300","Cora Iris","Womens Shoes","Black Leather","$85.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Cora-Iris/p/26170464","https://clarks.scene7.com/is/image/Pangaea2Build/26170464_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Cora-Iris/p/26170465","https://clarks.scene7.com/is/image/Pangaea2Build/26170465_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Cora-Iris/p/26171165","https://clarks.scene7.com/is/image/Pangaea2Build/26171165_W_1?fmt=jpg&wid=65","",""
"https://www.clarksusa.com/c/Orianna-Roam/p/26171032","https://clarks.scene7.com/is/image/Pangaea2Build/26171032_W_1?fmt=jpg&wid=300","Orianna Roam","Womens Sandals","Dark Sand","$120.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Orianna-Roam/p/26171031","https://clarks.scene7.com/is/image/Pangaea2Build/26171031_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Kataleyna-Step/p/26171909","https://clarks.scene7.com/is/image/Pangaea2Build/26171909_W_1?fmt=jpg&wid=300","Kataleyna Step","Womens Shoes","Beige","$95.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Kataleyna-Step/p/26171908","https://clarks.scene7.com/is/image/Pangaea2Build/26171908_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Torhill-Hi/p/26173661","https://clarks.scene7.com/is/image/Pangaea2Build/26173661_W_1?fmt=jpg&wid=300","Torhill Hi","Mens Boots","Red Suede","$130.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22UnisexSizingBadge?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Torhill-Hi/p/26173662","https://clarks.scene7.com/is/image/Pangaea2Build/26173662_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Torhill-Hi/p/26173663","https://clarks.scene7.com/is/image/Pangaea2Build/26173663_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Torhill-Hi/p/26173664","https://clarks.scene7.com/is/image/Pangaea2Build/26173664_W_1?fmt=jpg&wid=65","",""
